last_scraped,name,neighbourhood_cleansed,latitude,longitude,price
9/23/2022,"Sunny comfy flat,with terrace. Great location!",Cuauhtémoc,19.41936,-99.17281,"$1,569.00 "
9/23/2022,xo   PH with roof garden,Cuauhtémoc,19.43122,-99.15562,"$1,631.00 "
9/23/2022,Luminoso departamento muy bien ubicado y tranquilo,Benito Juárez,19.36823,-99.18607,$800.00 
9/22/2022,"Juan O'Gorman House - Studio,",Álvaro Obregón,19.35106,-99.19789,"$6,561.00 "
9/23/2022,50% Off 150 Mbps King Size Suite step Condesa Roma,Cuauhtémoc,19.42804,-99.16463,"$2,995.00 "
9/23/2022,"Big Penthouse, Unmatched View. Great Location.",Miguel Hidalgo,19.41499,-99.18215,"$7,968.00 "
9/23/2022,"Bonito, roma norte, ubicadísimo",Cuauhtémoc,19.42048,-99.16697,$450.00 
9/22/2022,Private room in nice apartment,Miguel Hidalgo,19.44232,-99.18332,$580.00 
9/23/2022,"Great location, nice apartment",Cuauhtémoc,19.42242,-99.16823,$350.00 
9/23/2022,Great 1920's Brownstone La Juárez,Cuauhtémoc,19.42048,-99.15678,"$1,897.00 "
9/22/2022,Mountain Oasis surrender by trees,Tlalpan,19.24444,-99.17044,$411.00 
9/22/2022,"Cómodo Estudio del Arqueólogo, San Angel CDMX",Álvaro Obregón,19.34943,-99.19427,"$1,800.00 "
9/22/2022,1 private room in a nice apartment,Miguel Hidalgo,19.44333058,-99.18496997,$560.00 
9/22/2022,"Private room. Near COLMEX, UPN, FLACSO",Tlalpan,19.28356,-99.21837,$600.00 
9/23/2022,"Depa  2 cuartos, Roma Condesa",Cuauhtémoc,19.41063,-99.16575,"$1,100.00 "
9/22/2022,"Comfortable and luminous house, 3 levels, 1-10 prs",Venustiano Carranza,19.41417,-99.11566,"$1,800.00 "
9/23/2022,Sunny Apartment Historic Coyoacan!,Coyoacán,19.34768,-99.15493,$240.00 
9/23/2022,Modern Complex in Historic District⭐️,Cuauhtémoc,19.43048,-99.14461,"$1,278.00 "
9/22/2022,Full appartment in Narvarte,Benito Juárez,19.38672,-99.15554,$700.00 
9/23/2022,Big sunny flat Plaza Rio de Janeiro,Cuauhtémoc,19.42064,-99.16134,"$1,997.00 "
9/22/2022,Simple y Práctico a 2 cuadras de Polanco,Miguel Hidalgo,19.44226,-99.18406,"$1,200.00 "
9/23/2022,Lovely Bright Studio in Perfect Location!,Miguel Hidalgo,19.40137,-99.17173,$699.00 
9/22/2022,"3 Bedrooms, 2 blocks from Polanco - ALL RENOVATED!",Miguel Hidalgo,19.4418,-99.18402,"$1,560.00 "
9/22/2022,MASTER ROOM IN THE GREAT HOUSE,Miguel Hidalgo,19.40692,-99.18831,$914.00 
9/23/2022,INTIMATE & COMPLETE STUDIO IN ANZURES,Miguel Hidalgo,19.42887,-99.17651,$773.00 
9/23/2022,New Home sweet Home Roma/Condesa,Cuauhtémoc,19.41046,-99.16409,$899.00 
9/22/2022,Linda Habitación amueblada en Ciudad de México,Benito Juárez,19.37159,-99.1586,$350.00 
9/22/2022,Acogedor departamento en Coyoacán,Coyoacán,19.35711,-99.16049,$740.00 
9/23/2022,Casa Indigo in the Center DF groups until 29 Pers,Cuauhtémoc,19.44222,-99.14461,"$2,796.00 "
9/23/2022,HEART OF CONDESA  ART DECO BUILDING,Cuauhtémoc,19.41226,-99.16594,"$1,378.00 "
9/22/2022,Cómodo y espacioso loft en Coyoacán,Coyoacán,19.35585,-99.16315,"$1,580.00 "
9/22/2022,Amplio y luminoso loft en Coyoacán,Coyoacán,19.35353,-99.16299,"$1,580.00 "
9/23/2022,Business Suite BEIGE near Reforma,Cuauhtémoc,19.43059,-99.17073,"$1,098.00 "
9/22/2022,Coyoacan Historic Studio Apartment,Coyoacán,19.35358,-99.16948,$900.00 
9/23/2022,Business Suite ORANGE near Reforma,Cuauhtémoc,19.43059,-99.17073,"$1,098.00 "
9/23/2022,Amazing apartment Mexico City!!!,Cuauhtémoc,19.41909,-99.16043,"$2,796.00 "
9/22/2022,"5 rooms common areas, private residence",Coyoacán,19.3454,-99.16951,"$3,180.00 "
9/23/2022,Condesa Apartment in 1920s Landmarked Art Nouveau Mansion,Cuauhtémoc,19.4153,-99.16763,"$1,721.00 "
9/23/2022,"Stylish bachelor pad in La Roma, DF",Cuauhtémoc,19.40891,-99.16083,$799.00 
9/22/2022,5 min from CDMX´s airport,Venustiano Carranza,19.43949,-99.08769,$440.00 
9/22/2022,LOVELY LITTLE HOUSE COYOACAN,Coyoacán,19.34419,-99.16083,$740.00 
9/22/2022,Private rooms near old Coyoacan center,Coyoacán,19.34022,-99.15306,$375.00 
9/22/2022,Nice quiet room in a lovely house!!,La Magdalena Contreras,19.33009,-99.21418,$600.00 
9/23/2022,Coyoacan: Gorgeously bright 2BR flat with balcony!,Coyoacán,19.35341644,-99.16253662,$799.00 
9/23/2022,Departamento 2 dormitorios x Antara,Miguel Hidalgo,19.44178,-99.20202,"$3,095.00 "
9/23/2022,Polanco Concept Studio Loft...,Miguel Hidalgo,19.43573,-99.18955,$998.00 
9/23/2022,Your Home in Mexico City,Miguel Hidalgo,19.44336,-99.20072,"$1,232.00 "
9/22/2022,COYOACAN NICE ♥ FLAT !!,Coyoacán,19.35284,-99.1695,$950.00 
9/23/2022,#Incredible location & cozy home!!!,Cuauhtémoc,19.42198,-99.15906,"$1,498.00 "
9/22/2022,Nice and luminous apartment in Coyoacan,Coyoacán,19.34219,-99.15952,$740.00 
9/22/2022,Luxury Studio Apartment Palmas,Miguel Hidalgo,19.42503,-99.22601,$880.00 
9/22/2022,Walk to WTC from a Family Apartment in a Trendy Neighborhood,Benito Juárez,19.38777,-99.17532,"$2,000.00 "
9/23/2022,Beautiful restored 40s apartment in Polanco♥,Miguel Hidalgo,19.42993,-99.19266,"$1,064.00 "
9/23/2022,Stay like a local in Roma Norte,Cuauhtémoc,19.4191,-99.15904,"$1,697.00 "
9/23/2022,Charming Apt in the best location,Cuauhtémoc,19.41416,-99.1568,"$1,050.00 "
9/23/2022,In the heart of Polanco,Miguel Hidalgo,19.43242,-99.19045,"$2,500.00 "
9/23/2022,beatiful two bedroom apartment,Cuauhtémoc,19.41121,-99.15957,"$1,811.00 "
9/23/2022,PASEO DE LA REFORMA+GYM+POOL,Cuauhtémoc,19.43339,-99.15467,"$1,441.00 "
9/23/2022,"CENTER, SPACIOUS  SECURE, Tours 306",Cuauhtémoc,19.43432,-99.14581,"$1,438.00 "
9/23/2022,lovely apartment in the heart of CDMX,Cuauhtémoc,19.42914772,-99.15665436,$800.00 
9/23/2022,Departamento en Polanco 3 recamaras,Miguel Hidalgo,19.43716,-99.20436,"$2,162.00 "
9/22/2022,Studio con servicios incluidos,Miguel Hidalgo,19.40303,-99.24273,$743.00 
9/22/2022,Bright and beautiful apt Narvarte,Benito Juárez,19.38212,-99.15361,"$1,493.00 "
9/23/2022,"Habitación bien iluminada, espaciosa y céntrica.",Benito Juárez,19.39284,-99.16858,$450.00 
9/22/2022,Contemporary House with Jacuzzi in San Angel,Álvaro Obregón,19.34948,-99.19381,"$5,000.00 "
9/23/2022,Auténtico departamento Art Deco en La Roma,Cuauhtémoc,19.40561382,-99.16012365,$666.00 
9/23/2022,"Condesa Moderno Loft, alberca, gym y excelente internet...  Ideal Ejecutivos",Cuauhtémoc,19.41689,-99.17792,"$1,850.00 "
9/22/2022,Apartment for your Pleasure or Business Trip (A),Miguel Hidalgo,19.45688,-99.21323,$898.00 
9/23/2022,Amazing Loft @ Iconic Building R27,Cuauhtémoc,19.43488,-99.15107,"$1,997.00 "
9/22/2022,Comfy room in Polanco,Miguel Hidalgo,19.436834,-99.207855,$700.00 
9/23/2022,Feel like in your own apartment,Cuauhtémoc,19.42054,-99.17074,"$1,000.00 "
9/23/2022,"Cozzy Studio In Condesa, Mexico DF",Cuauhtémoc,19.4061,-99.16957,$916.00 
9/23/2022,Apartment in the Historic District,Cuauhtémoc,19.43815,-99.13644,"$2,796.00 "
9/23/2022,Luxury apartments in Roma/Condesa,Cuauhtémoc,19.41767,-99.16652,"$2,500.00 "
9/23/2022,Gorgeous 2 BR furnished loft,Benito Juárez,19.39294,-99.17416,"$1,499.00 "
9/23/2022,GREAT PLACE TO STAY @ POLANCO MEX,Miguel Hidalgo,19.42887,-99.17651,$714.00 
9/22/2022,Big bedroom by San Angel,Álvaro Obregón,19.34028,-99.20049,$250.00 
